InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
575867,23242,TREASURE TIN BUFFALO BILL ,6,2011-11-11 12:44:00,2.08,15034.0,United Kingdom,12.48
559899,37450,CERAMIC CAKE BOWL + HANGING CAKES,12,2011-07-13 12:24:00,2.95,12528.0,Germany,35.400000000000006
569401,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,16,2011-10-04 08:56:00,0.83,15111.0,United Kingdom,13.28
560041,22625,RED KITCHEN SCALES,2,2011-07-14 14:46:00,8.5,14156.0,EIRE,17.0
548257,85099B,JUMBO BAG RED RETROSPOT,200,2011-03-30 10:54:00,1.65,13802.0,United Kingdom,330.0
552042,22321,BIRD DECORATION RED RETROSPOT,12,2011-05-06 09:00:00,0.85,13952.0,United Kingdom,10.2
563540,20726,LUNCH BAG WOODLAND,10,2011-08-17 12:04:00,1.65,12473.0,Germany,16.5
575634,23209,LUNCH BAG VINTAGE DOILY ,10,2011-11-10 13:44:00,1.65,13266.0,United Kingdom,16.5
578088,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-11-22 16:47:00,0.55,16376.0,United Kingdom,0.55
580874,23209,LUNCH BAG VINTAGE DOILY ,30,2011-12-06 12:09:00,1.65,14735.0,United Kingdom,49.5
573248,23301,GARDENERS KNEELING PAD KEEP CALM ,4,2011-10-28 12:09:00,1.65,14498.0,United Kingdom,6.6
550193,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2011-04-15 09:27:00,2.1,13952.0,United Kingdom,12.6
566539,22966,GINGERBREAD MAN COOKIE CUTTER,3,2011-09-13 11:34:00,1.25,17228.0,United Kingdom,3.75
554096,22088,PAPER BUNTING COLOURED LACE,6,2011-05-22 12:51:00,2.95,14921.0,United Kingdom,17.700000000000003
545518,85099F,JUMBO BAG STRAWBERRY,10,2011-03-03 12:24:00,1.95,18218.0,United Kingdom,19.5
561208,22356,CHARLOTTE BAG PINK POLKADOT,100,2011-07-25 16:39:00,0.72,15372.0,United Kingdom,72.0
567579,21175,GIN + TONIC DIET METAL SIGN,12,2011-09-21 10:48:00,2.55,18228.0,United Kingdom,30.6
575943,22617,BAKING SET SPACEBOY DESIGN,3,2011-11-13 11:44:00,4.95,17920.0,United Kingdom,14.85
549729,21930,JUMBO STORAGE BAG SKULLS,2,2011-04-11 16:17:00,2.08,13634.0,United Kingdom,4.16
557287,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,2011-06-19 12:47:00,12.75,18109.0,United Kingdom,12.75
572302,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-10-23 14:47:00,0.29,15427.0,United Kingdom,13.919999999999998
578541,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2011-11-24 15:01:00,4.95,14277.0,France,14.85
550461,21175,GIN + TONIC DIET METAL SIGN,2000,2011-04-18 13:20:00,1.69,15749.0,United Kingdom,3380.0
537646,22585,PACK OF 6 BIRDY GIFT TAGS,1,2010-12-07 15:39:00,1.25,17591.0,United Kingdom,1.25
573413,23517,EMBROIDERED RIBBON REEL REBECCA ,2,2011-10-30 16:12:00,2.89,15444.0,United Kingdom,5.78
558881,21403,BLUE EGG  SPOON,24,2011-07-04 14:36:00,0.12,12705.0,Germany,2.88
557762,21930,JUMBO STORAGE BAG SKULLS,10,2011-06-22 14:01:00,2.08,15810.0,United Kingdom,20.8
562928,22988,SOLDIERS EGG CUP ,12,2011-08-10 15:29:00,1.25,15494.0,United Kingdom,15.0
